procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
23  0   3840 778816 1024284 6358620    0   95    30   182  133  134  5  3 92  1  0
13  0   3840 739252 1024288 6361384    0    0     0   188 51275 110248 37  5 58  0  0
10  0   3840 756360 1024288 6360352    0    0     0     0 53930 76323 41  3 56  0  0
 7  0   3840 891132 1024288 6358308    0    0     0   344 79782 139868 37  8 55  0  0
13  0   3840 1193896 1024288 6358460    0    0     0     4 26196 16612 33  4 63  0  0
13  0   3840 1186432 1024288 6363116    0    0     0    80 24878 17677 36  4 60  0  0
13  0   3840 1134184 1024308 6363656    0    0     4   820 59355 99635 40  6 54  0  0
 7  0   3840 1150028 1024308 6363560    0    0     0    28 77418 121862 34  5 61  0  0
 6  0   3840 1234920 1024320 6363384    0    0     0   140 69532 106368 33  5 62  0  0
 6  0   3840 1221308 1024332 6363408    0    0     0   200 33895 36352 28  2 71  0  0
 6  0   3840 1230220 1024332 6363424    0    0     0     0 51971 72674 27  2 71  0  0
 8  0   3840 1239088 1024332 6363428    0    0     0   128 56552 79439 30  3 67  0  0
 6  0   3840 1365860 1024332 6363224    0    0     0     0 30622 29330 28  2 70  0  0
 6  0   3840 1394868 1024332 6363228    0    0     0     4 39828 48032 29  2 69  0  0
 4  0   3840 1393780 1024336 6358692    0    0     0    92 39191 46507 27  2 70  0  0
 5  0   3840 1399812 1024336 6358840    0    0     0     0 42190 52918 27  2 71  0  0
 6  0   3840 1406504 1024336 6358848    0    0     0    16 52663 74344 27  2 71  0  0
 5  0   3840 1403724 1024336 6358856    0    0     0   240 52422 70790 30  2 68  0  0
 9  0   3840 1382508 1024336 6358860    0    0     0   100 44437 56692 29  2 69  0  0
 6  1   3840 1399376 1024336 6361260    0    0     0    36 65141 98227 32  4 64  0  0
 4  0   3840 1397808 1024336 6361888    0    0     0     0 27690 23605 28  2 70  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 4  0   3840 1407716 1024336 6361952    0    0     0     8 22346 13058 27  1 72  0  0
 4  0   3840 1411840 1024336 6361956    0    0     0    60 19695 7119 26  0 73  0  0
 4  0   3840 1410140 1024336 6361964    0    0     0     0 43860 54146 31  3 66  0  0
 5  1   3840 1400924 1024344 6361964    0    0     0    88 50861 70174 30  4 66  0  0
 5  0   3840 1515120 1024344 6359136    0    0     0     4 60494 88367 34  6 60  0  0
 5  0   3840 1521348 1024344 6359296    0    0     0    16 49823 68396 29  3 68  0  0
 5  0   3840 1526140 1024344 6359300    0    0     0   220 57229 83214 27  2 70  0  0
 4  0   3840 1529980 1024344 6359308    0    0     0     0 50780 70096 29  3 68  0  0
 4  3   3840 1534564 1024344 6359312    0    0     0   364 30328 27451 32  2 67  0  0
 4  0   3840 1541460 1024352 6359448    0    0     0   100 19164 5328 26  0 73  1  0
 4  0   3840 1547976 1024352 6359520    0    0     0    12 40267 49101 27  2 72  0  0
