sec  cycles      instructions  cache-misses  branch-instructions  branch-misses  L1I_miss  L1D_miss  iTLB_miss  dTLB_miss  elapsed_ms
0    761016069   721454944     10375980      156837286            6527135        555256    10486396  311938     364227     100
0    410927868   378195315     7359057       37980114             1230404        162292    5585822   44811      93794      100
0    320194230   138409365     6997846       30026351             1789843        326714    12180707  243430     480971     100
0    371147158   550904339     6177545       41532607             3108937        241375    1703441   61963      60088      100
0    438107445   130612223     2853147       21760715             2112359        128472    663804    39299      46194      100
0    637974440   676716664     4955719       38140593             2122451        185876    2462819   46653      79202      100
0    1407572788  1299663988    16120238      155239793            7365752        725720    11687801  270847     337350     100
0    1285894766  830890206     10236806      101592929            5112686        356450    15464552  144751     272412     100
0    905390781   764262899     5994057       116680179            4316289        1008656   4508842   135142     414946     100
1    543851574   142290003     4167537       40078478             4597256        360468    2383242   107519     122120     100
1    2784413450  2343571213    10939768      234705776            13216635       680987    7964063   399034     433359     100
1    1156402381  727849357     11083767      62930835             5632436        271042    10734163  180867     400454     100
1    847249791   234332704     4888730       61896774             3385527        266719    5585285   63463      182186     100
1    280378292   109107297     2858602       21595637             2265429        213869    2739372   135496     208465     100
1    785925941   501437462     8362090       39178814             1977061        213425    13158921  48290      249770     100
1    611034146   342921203     5506789       41907490             1873430        238207    13785413  96856      351618     100
1    994545074   631641761     9016393       82950422             4807721        301918    11010457  120492     282199     100
1    1077251038  1167172921    11012928      98805231             5384254        357855    18461150  83103      331941     100
1    1162498823  786184921     11935499      101865468            3279620        239765    13716530  84976      292229     100
2    1009693687  676625362     10663308      118725097            5544119        449256    9189913   229473     286208     100
2    926951234   418946828     6243319       38147888             2881247        267573    4669746   94482      222682     100
2    194118518   78294635      4015076       19396153             1710389        326851    3215205   253050     268616     100
2    227388720   165309947     8390480       38550199             2735141        409605    4887961   197031     197825     100
2    352115951   201311061     8638899       59760167             1974173        275363    4009307   88134      112058     100
2    453186686   219045578     7128519       34260859             1699543        182088    6263911   104943     217568     100
2    815477749   858009366     5198184       57420987             4013805        320251    6108082   145890     194767     100
2    634174615   276360483     6194242       78516611             5415537        347711    11914721  161516     217043     100
2    711105626   781568014     9353238       65751275             3315495        279923    4712847   82875      111631     100
2    482611272   162348227     3896234       36261698             3512064        327641    2235702   74791      129737     100
3    2378598094  2022064438    15204275      370128569            7632169        447074    24489868  204227     2661709    100
3    850682348   423501632     6039711       72836949             4124721        304892    7723989   153655     906582     100
3    148632528   54515084      3258146       24511165             1794147        282401    3108503   203046     192019     100
3    184377358   97238329      4854758       29480957             1990299        302217    3056126   208626     245589     100
3    255398519   127060124     6427948       39131504             2096612        339355    5001869   154543     194287     100
3    558398962   212261329     5138345       23222740             1617994        149091    5293912   67673      158989     100
3    666996207   374766653     6475016       63634567             4068953        310618    5832345   90117      183144     100
3    1116872031  784408436     8089361       79169033             4950242        250390    8697873   93644      199389     100
3    650835412   308440432     8074713       58054671             3308664        284970    2211618   68904      100623     100
3    692097729   336345920     6090229       37774427             3269457        357856    3136222   161672     76128      100
4    864423950   1056472802    5399958       149193584            8671223        577447    9244019   1183271    268875     100
4    934487279   788018572     6546327       102663579            2978730        203661    6098887   65037      83685      100
4    200122668   71883739      2695373       28342247             2091396        146942    1976330   126711     196822     100
4    175362348   64788827      2644248       17691865             2020019        325365    3087059   263091     229239     100
4    350056526   187813833     8168866       34294040             2046311        314848    3293122   98995      164093     100
4    336587520   261303534     6241414       65981389             2556134        377294    7153703   160335     212498     100
4    788515369   412635974     7261475       78244657             4376275        393508    4405943   97557      152180     100
4    1006812325  541317074     10456004      58865614             4452419        439242    11122488  217908     439515     100
4    712782547   503728304     12830511      83358619             4704340        427531    12064935  260168     330921     100
4    1248259009  551734907     14520250      128912256            6507410        779216    12497352  185053     324904     100
5    1623452286  1370390285    13539554      130322888            10643997       644087    13867426  304274     434199     100
5    318583610   272987718     4396486       34573007             2681518        251607    5900087   90871      165947     100
5    230574930   61425030      2069962       14286682             1494010        203208    1462113   84926      65003      100
5    465123037   239012119     13471503      86454086             6427971        601520    10675513  279305     258300     100
5    213122589   88130175      2874108       18386124             1313028        157749    1475894   106800     56251      100
5    359936056   177175454     3792327       44177572             2998880        265825    4245125   208765     221347     100
5    542267995   328298375     10487972      68777610             4658720        471507    2409385   106672     145128     100
5    830298148   274759254     7132213       62906251             3833102        387077    3247488   147504     156343     100
5    669059851   268825112     5644751       46548385             4667070        380290    1702701   179215     194912     100
