sec  cycles      instructions  cache-misses  branch-instructions  branch-misses  L1I_miss  L1D_miss   iTLB_miss  dTLB_miss  elapsed_ms
0    3250498724  2993974527    7638980       292932033            16963149       1337543   19776470   1032225    276831     100
0    144748612   43032579      559479        6367336              658937         59765     502466     13479      17253      100
0    146980159   57073548      1818577       15768294             1223803        139508    1069309    69849      29270      100
0    111417532   29357964      999030        9721507              923920         126564    1240548    59719      48900      100
0    147866040   39101633      743912        6678701              696918         61472     564244     26411      16195      100
0    388622031   204863212     7550108       37155693             2238439        416830    3547920    248584     223895     100
0    509000072   279751661     6085680       44075229             2006048        309204    5261549    177956     302148     100
0    197558829   58757583      1261085       15293132             1435578        147330    1871467    74939      80757      100
0    169035513   66845775      1843847       11623851             1182618        106375    982742     60052      54035      100
1    526447019   422599982     3806907       62333843             5013556        188754    2340484    50337      69130      100
1    647377870   364125656     9489913       52948748             3135597        234886    1727430    83071      85888      100
1    555861827   206591775     7502980       70957268             5204002        499359    7866216    111805     228722     100
1    654077363   252335798     5577371       46443493             4594707        307382    2242903    110060     104842     100
1    604877134   169481677     4160888       38808553             3319642        275590    2227197    71019      172510     100
1    606279711   197132458     5039156       37933294             3869521        297570    1853297    66211      96959      100
1    601845330   166729383     3319399       37442628             3782915        350638    3162011    89773      130918     100
1    586800413   193951395     4116942       38738190             3711210        358084    2129512    97162      167995     100
1    586948174   163537603     4150582       40659834             3761501        324367    2097680    83841      110357     100
1    808284782   272451973     6796126       79010831             5665464        589578    6411881    351058     276592     100
2    122273288   29913684      509832        6871119              745897         79008     682579     45181      62478      100
2    566651498   322194033     9015083       69451649             7187134        395129    5161612    144747     134558     100
2    3310171160  2421694915    39345366      535342794            10181573       1848555   48668472   2716795    2612300    100
2    6169141869  5504841974    33705212      1034384431           15198289       1751836   81252994   1693891    1942761    100
2    5917749807  4160571045    55297454      759133315            23737560       3621116   83142933   4629086    3336075    100
2    5274355082  4274198641    60106217      737542594            20653241       2716908   66731521   3150374    2994421    100
2    843779956   1167175822    12216897      156240685            4252101        378079    13512570   252766     401679     100
2    1054436957  1031305669    11878356      98090623             4879618        610225    15115406   257914     398642     100
2    486245877   207743552     5304809       43383262             3411488        346430    2284606    145671     67206      100
2    1229639222  560678150     10693973      101031456            6898263        642679    7149740    142797     213790     100
3    581523740   156637794     3316806       36896100             3556925        299918    2683015    94534      90474      100
3    632416981   197945666     6381453       46290119             3904854        387392    2402332    107688     131434     100
3    456089188   206075208     5428995       46614702             4250374        417198    5225218    160523     206371     100
3    586357212   163679303     3130161       34300378             3677162        300578    2274350    141339     129954     100
3    160739260   72270671      3424544       19755374             1821252        193848    1333661    34885      69895      100
3    140699506   34714414      1533659       8456903              1130267        110806    1088034    47316      47759      100
3    230193479   102206587     4542191       30959696             3002717        366895    4604417    199112     226339     100
3    2036144095  2088128879    19646738      400386425            10017762       826659    32471813   518330     2652430    100
3    1088227420  499868823     8322217       88493017             6682185        611576    7798184    235580     307339     100
3    340642636   96472060      1896127       9466913              998798         102571    821924     37198      39899      100
4    125482956   38527415      1808590       9994687              960241         124984    1178639    43123      40950      100
4    167335258   55043461      1376434       9583323              858637         74895     552047     27884      20400      100
4    148616455   46300967      1248985       11811362             1193180        146326    1256560    52923      44518      100
4    141435867   49935641      652946        7498475              824353         88535     763713     42468      37865      100
4    130731846   30457551      507240        6221741              671816         66793     694878     19636      20710      100
4    220736749   113933988     2088655       20780120             1544060        77874     552556     24995      30896      100
4    159042251   40072964      1879744       10921593             889330         95232     777235     20586      20834      100
4    131978032   51546064      1903076       11345227             1027713        124130    851339     53258      55354      100
4    119534696   28515765      557615        13051251             872932         120654    1283858    74886      58253      100
4    137401757   47961341      1615544       46310965             1821447        329381    2771739    108169     89198      100
5    144965435   56637531      1877780       12211242             917328         109487    1038079    42968      23239      100
5    141090584   37488672      832191        8773345              868255         84968     743440     34742      35018      100
5    129494420   36841605      1142623       11810367             1368944        127245    1478127    51045      62574      100
5    144035877   113433991     3407768       21095929             1928944        213593    763599     26008      24619      100
5    122260918   44058701      2603531       17408263             1428327        199918    1868254    96693      92621      100
5    143130261   40482092      1074862       7929796              1035414        99843     1053725    62668      73265      100
5    334094705   211660170     1908677       26435097             1997324        238383    2296948    131182     80205      100
5    274143172   156170645     5568563       37155877             3813711        326531    3361262    88243      85668      100
5    192884066   65503126      2309855       15729816             891990         98025     889911     42227      30654      100
5    626306033   169225736     3821876       28343423             1978090        156093    1753516    94591      123750     100
6    124601565   38879481      2474087       13400305             1971336        207455    2318195    100364     108430     100
6    158073391   54135891      1889425       11233770             971038         88486     776781     34500      24333      100
6    129711791   47590048      1772881       14783819             1187033        108157    955634     18072      22255      100
6    141587190   46321547      366773        6305741              777878         113628    1109277    62816      58311      100
6    218649764   126477111     5859625       42949330             2081821        240427    2476390    123602     107169     100
6    242082370   97521538      4818987       18992264             2049570        232549    1873289    136609     107167     100
6    333772262   183515137     4956741       35088891             3007520        354336    2936947    199959     156975     100
