sec  cycles      instructions  cache-misses  branch-instructions  branch-misses  L1I_miss  L1D_miss  iTLB_miss  dTLB_miss  elapsed_ms
0    802086608   1125452540    9318568       79870535             4028848        349981    18033904  116541     380813     100
0    1793701598  2047074696    14630502      270637007            7436881        433466    25734893  191231     3382128    100
0    747619865   329740049     9034885       58791644             2966070        338203    2591625   243143     180737     100
0    570758801   666285895     11712141      65444452             3454163        432177    8008281   315999     389206     100
0    502775213   326188384     11470633      201301832            8056915        1511107   15985807  453848     217897     100
0    980322859   871864508     12402222      118900392            7660624        529351    9338517   208793     237973     100
0    1206351160  1167584419    15062595      126277770            6726671        812444    15879484  354854     509202     100
0    1776993822  1151525777    19318960      142240567            8255678        829650    16864679  460009     598626     100
0    834921444   307886213     10008901      69112186             5509654        614563    6313375   338524     279531     100
1    1154293620  616901367     15122843      152836788            10697023       1229747   14485582  861540     868285     100
1    3812524577  2680061388    45328175      566617512            19906856       2568556   48527178  2751240    2170350    100
1    6019428136  5176297480    40832282      1146040658           12851514       2389770   94020146  2265161    2857402    100
1    5619583162  3794789779    64429983      742222423            16618006       2430618   82734822  2981949    2771847    100
1    5139076527  5479375766    38803050      913908202            11215097       1558094   65951237  2881267    3415777    100
1    1898053339  2535614723    15534313      450875395            9694721        552362    14866267  210672     756841     100
1    2083386142  2606804445    16364667      435067841            9357238        736306    16952572  478183     682205     100
1    1726667982  2557652748    19744129      336593019            9998670        764440    17116391  415370     663090     100
1    1206223230  1038953031    15173568      148901024            8352864        837648    15872335  358724     456531     100
1    749400492   480578223     9909130       62952034             4709188        430835    8075754   242825     339829     100
2    664382422   282664011     13354987      57152056             3673240        423792    2628231   192672     124233     100
2    622807717   315836253     12979333      71480570             8185915        749426    6541399   431270     349579     100
2    680550277   589890860     10376469      113795101            3928677        1005775   4835939   226626     245309     100
2    663264717   272909081     9969302       34967025             3211086        381671    3348928   299947     154803     100
2    632103954   252319127     10064235      48950077             3751251        385980    2928662   244377     190156     100
2    977541942   1080090948    16151241      158843301            5074010        564305    12311297  243504     234840     100
2    1139890281  908142665     10665906      91979436             4738040        628786    13757595  342334     456598     100
2    212922720   87649424      2607618       32256466             2286290        293013    3134099   102861     116121     100
2    505043634   184370777     6140167       23473216             2025172        253067    1691868   129752     127026     100
2    428375893   185773353     7922344       71519049             3896919        381295    7334538   180874     227693     100
3    542310391   418919743     8277708       47395481             3101815        351598    4100034   190962     196201     100
3    420105354   502335230     7726290       53893970             2412545        339909    6449775   174572     189262     100
3    401554454   314242386     7823797       30537284             2106184        290304    7509340   211789     237565     100
3    599615775   332648826     12508580      99522498             3800623        480029    8647710   132490     199564     100
3    338718456   175019744     9170316       53023394             3880765        524226    6328930   259711     282344     100
3    403163296   145151386     4933526       25073413             2461924        356078    2930656   288128     342436     100
3    237562529   95171349      5430614       27530721             2267385        293837    2326291   183205     131231     100
3    359752487   113708160     4040371       21248205             1794581        299983    3154528   243920     274385     100
3    283426447   119763199     3991332       22974427             1994742        189453    1220363   66551      71440      100
3    193956987   66567299      1955812       13628586             1709831        169795    1177381   77573      75378      100
4    349881654   523303632     6127048       47229522             2352307        197188    1485485   44179      52779      100
4    446359604   335348326     5258095       46064848             2797538        265597    2335887   107668     75444      100
4    779346932   581791353     9566765       71232280             3017054        238858    3251378   54463      96488      100
4    547964034   183272755     6858159       56237682             2644508        396184    3933844   100528     99495      100
4    637689955   414463232     12944828      64760922             2982006        417597    4669146   233841     327112     100
4    197955588   77975410      3533648       23270202             1852568        315905    2868836   264789     248491     100
4    154976816   64903222      3453682       19643165             1550082        210414    4032683   197827     234551     100
4    160367484   55912151      1425271       13632538             1540732        128466    790398    27802      41830      100
4    404046723   99271788      2209620       20771366             2199880        166468    966366    32448      16589      100
4    458846508   151559705     3941739       21901197             1917878        186345    1247169   55490      45768      100
5    824297943   670761473     6856368       72186316             4009190        361405    5905071   122730     178047     100
5    393854069   158956958     3184233       23459282             1559450        129021    2193278   47082      81072      100
5    422803137   165215444     6041984       67027218             2715467        358665    9512050   102489     147458     100
5    2826234252  2535381811    28111144      482308482            11417318       607257    36476267  283622     3821196    100
5    798575165   476092583     6959360       79808251             4195013        210078    9133865   112323     1336606    100
5    359760540   178309394     3680175       43094757             4795098        302636    3546511   210053     152287     100
5    148117788   90434894      2700048       14007589             1125295        139526    957609    39703      37837      100
5    402471254   243109994     9581419       72617867             3391867        452606    4530301   220128     186199     100
5    1518934267  969478276     15843352      161938473            5793399        713290    15765091  389960     512584     100
5    1221933160  861611146     11075080      143693987            9392964        665114    14357798  277816     440945     100
6    1582410868  1333235091    19335038      200216580            12223015       947524    15028658  415852     526965     100
6    800159498   377446132     9232256       69216701             4853977        417390    3030367   170068     193068     100
6    705625335   235000484     10421428      76066818             6262676        757059    6169037   324557     310676     100
6    1147300492  737187719     15721017      108197528            5691231        762439    5746450   449937     483098     100
6    1329931814  1049643278    14893975      133891064            6181013        681662    9129220   317096     295624     100
6    1185513054  611055162     11599022      91838591             6664633        631001    4745053   317420     355468     100
6    652913145   227324324     7117423       39955598             3623909        397753    2857899   222707     164392     100
6    234986746   143208696     4485265       43193538             2937551        251798    1650111   124464     105837     100
6    210095167   93742152      4075831       18239910             1616489        225761    1834631   174377     122096     100
7    186783415   88155955      2012584       17792028             1413156        171598    1426307   102922     74219      100
7    351407244   210396483     6373534       45212548             4460847        303891    2877158   161451     154513     100
7    230265609   121433930     3079640       22269789             2025292        110570    1238833   53019      68543      100
7    258171843   100941989     2323618       16603070             1806623        253929    2159036   171350     114287     100
7    207963126   82345222      3547041       13259431             1398553        188175    1761566   112035     92037      100
7    155641043   45329638      1345111       8121597              898122         101833    1104247   48697      55181      100
7    612094911   518142631     10436855      80577576             2488839        447675    5663436   155584     254516     100
7    1441402468  1398772754    22766112      189669683            6393818        1759404   17471229  436868     486854     100
7    1726895060  1491488119    26261304      282120125            8845135        1679005   22150399  422188     506131     100
7    1290692020  1251449615    19214134      185025926            7256811        1111497   19271174  509337     605681     100
8    1576074680  1190513339    15658393      116457339            6890174        655061    15590526  437059     610228     100
8    1386554454  1063917758    15657565      178554978            6291730        876679    20409285  314480     664957     100
8    1727315776  1018725968    16513849      122240106            6226473        741682    16646691  428141     585669     100
8    882720946   423176966     11250355      105065450            5622189        618148    16063704  218455     427177     100
8    752659837   654623040     8739760       65127255             2261210        281917    6467721   192566     288061     100
8    1621387034  1276783776    20208699      198600367            7459627        1002927   13628200  382715     474060     100
8    550714157   286071628     7650948       67115446             3661897        399253    9619587   106375     212166     100
8    617523903   456702815     6331846       34242775             1898103        226810    3482076   167359     262712     100
8    1155723834  460111269     11558474      88360060             5265660        549335    15423841  260544     470256     100
8    538624635   338818216     6268576       68864113             3436498        377417    3664405   171691     171789     100
9    466324280   409974979     8115594       66641882             3565659        273500    9547326   97934      250177     100
9    888266385   769188863     12128315      89180311             5343279        787913    16099395  310717     369064     100
9    200656108   51195233      1864100       9291937              946654         104559    722512    39192      56686      100
9    603056224   423742773     9773367       82391001             3477920        323438    12803258  131865     235120     100
9    125478067   34402776      1220023       9838775              966454         129493    1277349   61006      63789      100
9    159855847   47697454      687994        7412462              902558         85412     794990    35407      37938      100
9    141446352   40898476      1209254       17459183             2352198        66484     848615    18068      26639      100
9    160975737   65420435      2656340       14468860             1112514        103262    1061020   32027      31032      100
9    132619994   48278520      942973        12554484             1002664        107140    930469    46521      30286      100
9    137271123   43558559      1415702       11999979             1037288        125303    947447    29681      37270      100
10   446303158   180658318     5141131       44246615             2423225        250799    2432770   79002      59500      100
10   421116509   144326327     3355308       28458321             2894322        256732    1893883   147424     140189     100
10   223325231   86071467      3418787       16635529             1612520        244230    2129429   162731     189624     100
10   399838875   172226687     7945318       38421084             3266915        483529    3431180   288350     212070     100
10   616573331   254951661     9953789       33511243             2862946        377943    3272209   230433     168955     100
