Time,CPU,CPU_CYCLES,INSTRUCTIONS,CACHE_MISSES,BRANCH_INSTRS,BRANCH_MISSES,L1_ICACHE_MISS,L1_DCACHE_MISS,ITLB_MISSES,L2_CACHE_MISS,DTLB_MISSES,LoadType,Rep
2025-05-16 15:39:39,0,87008510,66730525,541074,6878308,454650,60539,1007795,107265,29142,74043,cpu,1
2025-05-16 15:39:39,1,608206959,1087108960,11181645,116054275,1537277,83904,16139095,20173,1045260,36652,cpu,1
2025-05-16 15:39:39,2,64825605,45141065,317771,4798452,384809,27611,620817,63108,36122,41583,cpu,1
2025-05-16 15:39:39,3,601447408,1046625206,10521350,109280957,1493296,141800,34243891,2508,1064367,11736,cpu,1
2025-05-16 15:39:39,4,118350923,154094512,1342793,15244362,425556,63819,3686733,56498,113766,69174,cpu,1
2025-05-16 15:39:39,5,566541265,949847622,11113199,103844505,1550983,141167,29543242,43776,979526,174703,cpu,1
2025-05-16 15:39:39,6,155622758,166222788,1459463,18811953,759164,141302,3260748,146581,99895,127662,cpu,1
2025-05-16 15:39:39,7,102988543,74125569,1149776,8969745,718505,100785,1567366,129307,56893,156201,cpu,1
2025-05-16 15:39:39,8,157684686,88551181,553518,11596691,931751,125232,1350981,75986,59823,115792,cpu,1
2025-05-16 15:39:39,9,597605677,1012168550,12354355,118616821,1273033,210628,32000810,32835,897398,1301418,cpu,1
2025-05-16 15:39:39,10,142910603,93335835,526000,11485693,925210,121864,1346523,106802,49571,86097,cpu,1
2025-05-16 15:39:39,11,147238724,84370426,430601,10261781,907749,116612,866125,107718,36805,61754,cpu,1
2025-05-16 15:39:39,12,115831242,157936358,1224226,13697105,457508,80931,3262184,69910,68781,111691,cpu,1
2025-05-16 15:39:39,13,566305775,652319739,15906826,131200022,1935161,1045683,33226882,403326,293120,7266451,cpu,1
2025-05-16 15:39:39,14,125473358,123189961,1094083,15647251,742456,68721,1396454,86971,183692,153036,cpu,1
2025-05-16 15:39:39,15,73403089,71853679,531803,6654791,443102,38789,775909,64282,80060,74290,cpu,1
2025-05-16 15:39:39,0,365608759,634666132,7799905,67820269,956365,95723,18443325,16469,612635,43095,cpu,1
2025-05-16 15:39:39,1,252908332,410144050,5529950,41865544,818544,30560,7122155,11775,430024,27605,cpu,1
2025-05-16 15:39:39,2,184787804,274768444,2387973,46271617,484982,159750,5178117,17913,193458,78405,cpu,1
2025-05-16 15:39:39,3,553782087,921703013,9557000,99010109,1386852,142970,28000936,4206,920635,15594,cpu,1
