Linux 6.8.0-59-generic (superlzx) 	2025年05月16日 	_x86_64_	(16 CPU)

15时39分37秒     CPU     %user     %nice   %system   %iowait    %steal     %idle
15时39分38秒     all     37.04      0.00      5.36      0.00      0.00     57.60
15时39分39秒     all     40.96      0.00      3.34      0.00      0.00     55.69
15时39分40秒     all     37.52      0.00      7.40      0.00      0.00     55.08
15时39分41秒     all     32.63      0.00      4.53      0.00      0.00     62.84
15时39分42秒     all     36.39      0.00      3.65      0.00      0.00     59.96
15时39分43秒     all     40.05      0.00      5.81      0.20      0.00     53.95
15时39分44秒     all     34.36      0.00      4.87      0.00      0.00     60.76
15时39分45秒     all     33.18      0.00      4.98      0.00      0.00     61.84
15时39分46秒     all     27.84      0.00      1.54      0.13      0.00     70.49
15时39分47秒     all     27.02      0.00      2.07      0.00      0.00     70.91
15时39分48秒     all     30.50      0.00      2.77      0.00      0.00     66.73
15时39分49秒     all     27.56      0.00      2.05      0.00      0.00     70.40
15时39分50秒     all     29.35      0.00      1.79      0.00      0.00     68.86
15时39分51秒     all     27.27      0.00      1.86      0.51      0.00     70.36
15时39分52秒     all     26.65      0.00      1.80      0.00      0.00     71.55
15时39分53秒     all     26.93      0.00      2.27      0.00      0.00     70.81
15时39分54秒     all     29.70      0.00      2.32      0.06      0.00     67.91
15时39分55秒     all     29.10      0.00      2.45      0.00      0.00     68.45
15时39分56秒     all     31.97      0.00      3.90      0.00      0.00     64.13
15时39分57秒     all     28.39      0.00      1.46      0.64      0.00     69.51
15时39分58秒     all     26.54      0.00      0.89      0.00      0.00     72.57
15时39分59秒     all     26.11      0.00      0.44      0.00      0.00     73.44
15时40分00秒     all     30.93      0.00      2.64      0.00      0.00     66.43
15时40分01秒     all     29.81      0.00      3.80      0.00      0.00     66.39
15时40分02秒     all     33.93      0.00      5.66      0.13      0.00     60.28
15时40分03秒     all     28.82      0.00      3.15      0.00      0.00     68.04
15时40分04秒     all     27.33      0.00      2.33      0.00      0.00     70.34
15时40分05秒     all     28.58      0.00      3.07      0.00      0.00     68.35
15时40分06秒     all     31.76      0.00      1.66      0.00      0.00     66.58
15时40分07秒     all     25.78      0.00      0.38      1.01      0.00     72.83
15时40分08秒     all     26.59      0.00      1.54      0.00      0.00     71.88
15时40分09秒     all     28.02      3.77      2.86      0.00      0.00     65.34
15时40分10秒     all     29.27      5.39      3.72      0.00      0.00     61.62
15时40分11秒     all     27.90      4.23      4.17      0.00      0.00     63.69
15时40分12秒     all     30.55      0.00      5.84      0.19      0.00     63.41
15时40分13秒     all     30.01      0.00      3.69      0.00      0.00     66.30
15时40分14秒     all     29.54      0.00      2.91      0.00      0.00     67.55
15时40分15秒     all     31.89      0.00      4.60      0.07      0.00     63.45
15时40分16秒     all     26.32      0.00      0.51      0.00      0.00     73.17
15时40分17秒     all     26.02      0.00      0.64      0.70      0.00     72.64
15时40分18秒     all     25.86      0.00      0.44      0.06      0.00     73.63
15时40分19秒     all     25.62      0.00      0.38      0.00      0.00     74.00
15时40分20秒     all     26.60      0.00      0.83      0.00      0.00     72.57
15时40分21秒     all     27.98      0.00      1.29      0.06      0.00     70.66
15时40分22秒     all     32.40      0.00      2.99      0.00      0.00     64.61
15时40分23秒     all     33.10      0.00      4.67      0.00      0.00     62.23
15时40分24秒     all     31.82      0.00      3.38      0.00      0.00     64.80
15时40分25秒     all     27.83      0.00      2.67      0.00      0.00     69.51
15时40分26秒     all     26.21      0.00      0.70      0.00      0.00     73.09
15时40分27秒     all     26.67      0.00      0.89      0.00      0.00     72.44
15时40分28秒     all     28.90      0.00      1.96      0.06      0.00     69.07
15时40分29秒     all     26.51      0.00      0.64      0.00      0.00     72.85
15时40分30秒     all     25.70      0.00      0.38      0.00      0.00     73.92
15时40分31秒     all     25.78      0.00      0.45      0.00      0.00     73.77
15时40分32秒     all     25.94      0.00      0.44      0.00      0.00     73.62
15时40分33秒     all     25.89      0.00      0.51      0.00      0.00     73.60
15时40分34秒     all     29.08      0.00      1.90      0.00      0.00     69.03
15时40分35秒     all     25.98      0.00      0.57      0.00      0.00     73.45
15时40分36秒     all     27.16      0.00      0.95      0.00      0.00     71.88
15时40分37秒     all     26.03      0.00      0.63      0.19      0.00     73.14
15时40分38秒     all      5.11      0.00      7.82      0.13      0.00     86.94
15时40分39秒     all      0.90      0.00      2.07      0.00      0.00     97.03
15时40分40秒     all      0.77      0.00      1.41      0.00      0.00     97.82
15时40分41秒     all      0.32      0.00      0.32      0.00      0.00     99.36
15时40分42秒     all      0.32      0.00      0.77      0.00      0.00     98.91
15时40分43秒     all      0.77      0.00      0.58      0.06      0.00     98.58
15时40分44秒     all      3.26      0.00      2.49      0.00      0.00     94.25
15时40分45秒     all      0.90      0.00      1.03      0.00      0.00     98.08
15时40分46秒     all      1.02      0.00      1.28      0.00      0.00     97.70
15时40分47秒     all     10.07      0.00      6.80      0.13      0.00     83.01
15时40分48秒     all      5.66      0.00      4.41      0.00      0.00     89.93
15时40分49秒     all      1.23      0.00      1.75      0.00      0.00     97.01
15时40分50秒     all      2.33      0.00      0.91      0.00      0.00     96.76
15时40分51秒     all      0.97      0.00      0.65      0.00      0.00     98.38
15时40分52秒     all      2.90      0.00      2.06      0.00      0.00     95.04
15时40分53秒     all      3.10      0.00      1.49      0.00      0.00     95.41
15时40分54秒     all      1.41      0.00      1.09      0.06      0.00     97.43
15时40分55秒     all      1.28      0.00      1.15      0.00      0.00     97.56
15时40分56秒     all      1.48      0.00      0.71      0.00      0.00     97.81
15时40分57秒     all      5.52      0.00      3.81      0.00      0.00     90.67
15时40分58秒     all      3.59      0.00      3.13      0.00      0.00     93.28
15时40分59秒     all      0.45      0.00      0.77      0.00      0.00     98.77
15时41分00秒     all      0.64      0.00      0.64      0.06      0.00     98.65
15时41分01秒     all      0.96      0.00      1.28      0.00      0.00     97.76
15时41分02秒     all      2.95      0.00      1.03      0.00      0.00     96.02
15时41分03秒     all      0.58      0.00      0.70      0.00      0.00     98.72
15时41分04秒     all      1.98      0.00      1.21      0.13      0.00     96.68
15时41分05秒     all      2.90      0.00      3.34      0.06      0.00     93.70
15时41分06秒     all      3.95      0.00      2.72      0.00      0.00     93.33
15时41分07秒     all      5.51      0.00      5.00      0.00      0.00     89.49
15时41分08秒     all      2.18      0.00      1.73      0.00      0.00     96.09
15时41分09秒     all      4.02      0.00      2.42      0.19      0.00     93.37
