time,cpu,cpu_cycles,instructions,cache_misses,branch_instrs,branch_misses,L1_icache_miss,L1_dcache_miss,ITLB_misses,L2_cache_miss,DTLB_misses,ts,thread,pid
7220052582312,0,303555531,259626891,1925858,37942048,1969106,147583,2792162,220364,100553,226190,7220052582312,Thread<08>,4478
7221062772246,0,302707913,250656396,2341640,40995717,2032339,159415,3109058,246550,77400,325762,7221062772246,gmain,3399
7222075356421,0,298530562,307057997,1609472,38379981,1898381,136127,2766350,465502,179171,320167,7222075356421,pool-firefox_fi,30004
7223078559912,0,304043937,311964627,1666742,43437888,2157567,140666,2947116,444133,163879,298813,7223078559912,kworker/u32:4,18802
7224085366809,0,287438918,259768764,2033715,40081821,1779487,156050,2952054,444361,160433,381511,7224085366809,swapper/0,0
7225088596012,0,306166259,260876249,2308724,35762208,2154065,167478,3058415,417357,125815,354059,7225088596012,kworker/u32:0,8097
7226101950488,0,299285993,278874692,1884155,38208493,1862251,138238,2843783,251455,75774,302358,7226101950488,gmain,3399
7227131474738,0,295760056,257491100,1874272,36495879,2051280,151040,3174041,258192,100968,314830,7227131474738,kworker/u32:2,117
7228144163356,0,297501566,280785066,1876820,39443338,1949227,138418,2997785,473254,126517,361383,7228144163356,Chrome_ChildIOT,4435
7229147735430,0,281115304,279682757,1647810,32265648,1751719,146094,2959559,480292,84234,343483,7229147735430,Thread<11>,4481
7230154332413,0,301481805,252520164,2063576,33188178,2084360,157457,3155126,458736,115145,445049,7230154332413,swapper/0,0
7231189892524,0,302802216,300974343,1735604,39439244,1891858,143742,2823843,253353,91526,324637,7231189892524,swapper/0,0
7232192988154,0,296940051,291361062,1706906,33881630,1815622,137818,3013450,422737,91133,299023,7232192988154,pool-firefox_fi,29999
7233196877118,0,293303231,256612057,2129034,31691164,1982766,147561,2927526,400188,99094,388342,7233196877118,Thread<06>,4476
7234200614462,0,306976950,270614166,2676498,32924639,1694923,167326,3771560,599297,100317,755220,7234200614462,Thread<08>,4478
7235210312780,0,268745592,233935191,2801762,29501193,1611834,131029,4044046,439720,127799,308743,7235210312780,Thread<05>,4475
7236224206481,0,297187127,231740560,2134994,34353527,2107454,157592,3506168,223134,91927,363324,7236224206481,Thread<04>,4474
7237227794867,0,284349095,255110021,1714577,36289948,1818770,139506,2954853,351659,88930,361552,7237227794867,pool-firefox_fi,30005
7238230735128,0,294496003,246697183,1945706,37381879,2122433,163774,3058305,333711,112861,224303,7238230735128,pool-firefox_fi,27645
7239248873181,0,298882617,281436093,2061930,37032671,1831829,134935,3029730,259920,76507,305928,7239248873181,Thread<15>,4485
